,date,content,retweetCount,coordinates
0,2013-08-06 19:25:15+00:00,"survécu manger un repas téléspectateurs. pas trop tard continué à uriner rapidement personne n'a quitté le ventre
#france_language",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
1,2012-05-16 09:38:24+00:00,Kit Kat Chunky – Silence Your Hunger par JWT: Je vais vous parler très rapidement d’un petit film publicitaire r... http://t.co/mH2Bzwx3,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
2,2011-10-24 13:07:56+00:00,[Stage] Développement web (à pourvoir rapidement) - H/F chez Topinge - Paris (75) : http://t.co/87S1vgXn #stage #informatique,0,"{'longitude': 2.3522219, 'latitude': 48.856614}"
0,2017-03-08 07:54:41+00:00,HEART OF PARIS // So here's my requisite picture of the Bateau Mouche (river boat) on the Seine… https://t.co/nyGOp8hkey,0,"{'longitude': 2.352222, 'latitude': 48.856389}"
1,2014-07-13 08:23:59+00:00,Je vais préparer mon bateau ! Et vous ? (at @Paris w/ 14 others) https://t.co/XZG1XVtYrH http://t.co/1Tvfy0pvj4,0,"{'longitude': 2.35219002, 'latitude': 48.85723288}"
2,2013-07-08 15:34:02+00:00,David Villa quitte le bateau et par l’Atlético de Madrid http://t.co/I6T2V6jTB0,0,"{'longitude': 2.35261917, 'latitude': 48.85703523}"
3,2013-07-07 15:18:06+00:00,Roumanie intercepte un bateau avec 33 syriens qui se rendaient à l’espace Schengen http://t.co/Xt2BNRpeoc,0,"{'longitude': 2.35261917, 'latitude': 48.85703523}"
4,2013-06-26 21:46:47+00:00,"Déjeuner ou dîner en mer : bateau, bercé par les vagues http://t.co/vHs6M5MM2y",0,"{'longitude': 2.35261917, 'latitude': 48.85703523}"
5,2012-06-15 09:02:10+00:00,#paris #seineriver #bateau #architecture #picoftheday #photooftheday #iphone4 #  @ Place de l'Hôtel de Ville http://t.co/qwd3rOhA,0,"{'longitude': 2.35154629, 'latitude': 48.85673876}"
6,2011-09-20 13:16:41+00:00,2011-09-20 Typical Tuesday: Bateau Mouche http://t.co/24Y3L5HD,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
0,2020-02-03 09:13:12+00:00,"Face à l’urgence climatique, loin d’attendre de la science et de la technique des solutions miracles, nous devons concevoir la recherche comme un moyen d’élever l’humanité pour surmonter la catastrophe annoncée et aller vers une meilleure compréhension de nos besoins vitaux. 3/3 https://t.co/UBWkjrn99l",2,"{'longitude': 2.352372407913208, 'latitude': 48.85647757431556}"
1,2019-04-07 21:00:59+00:00,Un bon moyen de faire le plein de protéine c’est le pokebowl une recette arrivée tout droit d’Hawaii. Le principe : un bol de riz avec du saumon ou du thon mariné le tout mélangé à de… https://t.co/Kza4Wjr1WY,0,"{'longitude': 2.35182778, 'latitude': 48.85657778}"
2,2014-06-28 14:08:26+00:00,RT @HFPrevention: Le #TUP Truck Viens d'arrivé au milieu de @Solidays ! bon moyen de decouvrir l'appli http://t.co/f81ZJ0KoTn,1,"{'longitude': 2.3514364, 'latitude': 48.8566678}"
3,2013-09-02 19:08:10+00:00,"ORIGINALITÉ ! ... RT @douck12: Au #PSG, on rêve avec le Moyen-Orient. A l'#OM, avec les moyens de Lorient... Chacun ses soucis ! #Mercato",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
4,2013-06-04 19:16:43+00:00,"Il pue la merde ton tweet, un peu.  RT “@Ambiancedefolie: Kevin Anin , joueur plutot moyen , mais bon le coma c'est pas coule , j'avoue.",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
5,2013-06-01 18:00:22+00:00,"On peut être en désaccord (comme moi) avec leurs avantages fiscaux, mais nié le fait que c'est un club historique de L1. C'est moyen.",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
6,2012-08-12 08:30:04+00:00,@beinsport Va falloir mettre les beIN MAX en HD ! Car la SD sur un grand écran c'est très moyen :).,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
7,2012-08-04 06:15:52+00:00,"L""seul moyen pour que le PSG ne soit pas ridicule ce soir c'est qu'Ibra partage sa haine du Barça avec le reste de l'équipe. Allez l'arbitre",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
8,2012-07-26 01:57:14+00:00,Le nouvel album de Rick Ross je le trouve moyen pour pas dire zdeh.,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
9,2012-07-16 10:36:15+00:00,"Un club aussi puissant que l'est le PSG mtn dans un championnat moyen comme la ligue 1 ça peut faire mal, vite de nouveaux investisseurs.",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
10,2011-05-14 22:46:41+00:00,Une hérésie RT @Ataxique: vous réalisez que #Eurovision se passera en Asie-Moyen-Orient l'an prochain ? ^^,0,"{'longitude': 2.35213917, 'latitude': 48.85696178}"
0,2013-11-26 20:49:20+00:00,"Le truc qui me choque le +, depuis la saison dernière, c'est la vitesse avec laquelle circule le ballon coté olympien. Archi lent.",1,"{'longitude': 2.352222, 'latitude': 48.856614}"
0,2015-04-04 13:11:10+00:00,"Le mauvais temps ne nous déprimeras pas!! #parisianlife #homy #shootingday #defi @ Hôtel de Ville, Paris https://t.co/fxuzvPKCIT",0,"{'longitude': 2.35222222, 'latitude': 48.85638889}"
1,2014-10-24 14:02:08+00:00,"My soundtrack: ♫ ""Un Jour Au Mauvais Endroit"" by Calogero (@ Paris) http://t.co/ZQCAU0Jwra",0,"{'longitude': 2.35206127, 'latitude': 48.85644228}"
2,2014-10-20 10:44:22+00:00,tout à fait... RT @LouisLazare: Ça sent mauvais pour la Tour Triangle... http://t.co/rc26EqOLiW,3,"{'longitude': 2.35146616, 'latitude': 48.85670836}"
3,2013-12-15 21:57:42+00:00,"Imbula, mauvais comportement ou pas, il doit tout le temps être titu. Il perfore tout avec classe.",1,"{'longitude': 2.352222, 'latitude': 48.856614}"
4,2013-10-13 13:59:57+00:00,@KadoudouKhadija merde c'est un mauvais délire,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
5,2013-06-11 16:43:40+00:00,"Mauvais timing, Mario Kart 8 et Super Smash Bros pour 2014.",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
6,2013-04-11 19:25:33+00:00,"Footix et mauvais rappeur, c'est génial RT @skeezydane: Pour ce genre d'individu. 

#OnRegretteLaChaiseElectrique http://t.co/bDK6KHnhQE",2,"{'longitude': 2.352222, 'latitude': 48.856614}"
7,2012-09-10 04:47:00+00:00,"RFI: UE / ECONOMIE: Pour l'économiste Joseph Stiglitz, l'austérité est un mauvais coup porté à l'Europe http://t.co/LtbzkAtV",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
8,2012-09-10 04:46:29+00:00,"UE / ECONOMIE: Pour l'économiste Joseph Stiglitz, l'austérité est un mauvais coup porté à l'Europe http://t.co/hJuuVg1T
 via @RFI",0,"{'longitude': 2.352222, 'latitude': 48.856614}"
9,2012-08-24 19:28:28+00:00,Si Lyon ne gagne pas ce sera une mauvais opération..devant c'est faible... #PureLive,0,"{'longitude': 2.352222, 'latitude': 48.856614}"
0,2022-02-04 19:07:15+00:00,"🎉Bientôt un nouveau restaurant ""OAHU"" va ouvrir sa porte à Paris 11ème 😋 @ Ville de Paris https://t.co/6n9KXcCeHh",0,"{'longitude': 2.35212564, 'latitude': 48.85652699}"
1,2021-11-19 16:22:35+00:00,"🇪🇺Excellente journée de militantisme local à l’Hôtel de Ville de Paris! 
Notre secrétaire générale Silvia Romano avec le porte-parole de l’@UEF_France Hervé Moritz à la journée #VilleEuropeenne .
#ToFedEU https://t.co/IoKyyaN6IB",6,"{'longitude': 2.352372407913208, 'latitude': 48.85647757431556}"
2,2021-10-12 14:51:11+00:00,Très émue d’avoir porté au nom et avec @Anne_Hidalgo la délibération que notre #ConseildeParis a voté à l’unanimité pour honorer la mémoire de #SamuelPaty . Le Square à son nom face à La Sorbonne est un lieu symbolique des valeurs de l’école républicaine dont il fut l’honneur https://t.co/oUE8K1hymu,62,"{'longitude': 2.352372407913208, 'latitude': 48.85647757431556}"
3,2021-06-01 15:40:48+00:00,- [#ConseildeParis] Nous avons acté ce matin la 1ère action d'envergure pour le déploiement de la consigne pour le réemploi dans l'intégralité d'un arrondissement à @Paris ! Un projet porté par @MyGreenGo et @Ecotable dans #Paris10 pour lutter contre le #plastique à usage unique. https://t.co/GPnZDeF0ze,8,"{'longitude': 2.352372407913208, 'latitude': 48.85647757431556}"
